candidate_id,candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles
VSAM-L0031,carbazole_C2_di-Anisyl,carbazole,C2,phosphonic acid,di-Anisyl,electron-rich aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OC)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0032,carbazole_C2_mono-F-Ph-A,carbazole,C2,phosphonic acid,mono-F-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0033,carbazole_C2_mono-F-Ph-B,carbazole,C2,phosphonic acid,mono-F-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(F)cc3)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(-c3ccc(F)cc3)cc21
VSAM-L0034,carbazole_C2_di-F-Ph,carbazole,C2,phosphonic acid,di-F-Ph,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0035,carbazole_C2_mono-Cl-Ph-A,carbazole,C2,phosphonic acid,mono-Cl-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(Cl)cc3)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0036,carbazole_C2_mono-Cl-Ph-B,carbazole,C2,phosphonic acid,mono-Cl-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(Cl)cc3)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(-c3ccc(Cl)cc3)cc21
VSAM-L0037,carbazole_C2_di-Cl-Ph,carbazole,C2,phosphonic acid,di-Cl-Ph,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(Cl)cc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(Cl)cc3)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0038,carbazole_C2_mono-Me-Ph-A,carbazole,C2,phosphonic acid,mono-Me-Ph-A,alkylaryl carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(C)cc3)cc2c2ccccc21,Cc1ccc(-c2ccc3c(c2)c2ccccc2n3CCP(=O)(O)O)cc1
VSAM-L0039,carbazole_C2_mono-Me-Ph-B,carbazole,C2,phosphonic acid,mono-Me-Ph-B,alkylaryl carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(C)cc3)cc21,Cc1ccc(-c2ccc3c4ccccc4n(CCP(=O)(O)O)c3c2)cc1
VSAM-L0040,carbazole_C2_di-Me-Ph,carbazole,C2,phosphonic acid,di-Me-Ph,alkylaryl carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(C)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0041,carbazole_C2_F/Cl,carbazole,C2,phosphonic acid,F/Cl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Cl)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Cl)ccc21
VSAM-L0042,carbazole_C2_F/Br,carbazole,C2,phosphonic acid,F/Br,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Br)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Br)ccc21
VSAM-L0043,carbazole_C2_F/Me,carbazole,C2,phosphonic acid,F/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O
VSAM-L0044,carbazole_C2_F/OMe,carbazole,C2,phosphonic acid,F/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O
VSAM-L0045,carbazole_C2_F/CN,carbazole,C2,phosphonic acid,F/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O
VSAM-L0046,carbazole_C2_F/CF3,carbazole,C2,phosphonic acid,F/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0047,carbazole_C2_F/Ph,carbazole,C2,phosphonic acid,F/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0048,carbazole_C2_F/Th,carbazole,C2,phosphonic acid,F/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0049,carbazole_C2_F/Anisyl,carbazole,C2,phosphonic acid,F/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0050,carbazole_C2_F/F-Ph,carbazole,C2,phosphonic acid,F/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0051,carbazole_C2_F/Cl-Ph,carbazole,C2,phosphonic acid,F/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0052,carbazole_C2_F/Me-Ph,carbazole,C2,phosphonic acid,F/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0053,carbazole_C2_Cl/Br,carbazole,C2,phosphonic acid,Cl/Br,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Br)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Br)ccc21
VSAM-L0054,carbazole_C2_Cl/Me,carbazole,C2,phosphonic acid,Cl/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O
VSAM-L0055,carbazole_C2_Cl/OMe,carbazole,C2,phosphonic acid,Cl/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O
VSAM-L0056,carbazole_C2_Cl/CN,carbazole,C2,phosphonic acid,Cl/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O
VSAM-L0057,carbazole_C2_Cl/CF3,carbazole,C2,phosphonic acid,Cl/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0058,carbazole_C2_Cl/Ph,carbazole,C2,phosphonic acid,Cl/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0059,carbazole_C2_Cl/Th,carbazole,C2,phosphonic acid,Cl/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0060,carbazole_C2_Cl/Anisyl,carbazole,C2,phosphonic acid,Cl/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0061,carbazole_C2_Cl/F-Ph,carbazole,C2,phosphonic acid,Cl/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0062,carbazole_C2_Cl/Cl-Ph,carbazole,C2,phosphonic acid,Cl/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0063,carbazole_C2_Cl/Me-Ph,carbazole,C2,phosphonic acid,Cl/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0064,carbazole_C2_Br/Me,carbazole,C2,phosphonic acid,Br/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O
VSAM-L0065,carbazole_C2_Br/OMe,carbazole,C2,phosphonic acid,Br/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O
VSAM-L0066,carbazole_C2_Br/CN,carbazole,C2,phosphonic acid,Br/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O
VSAM-L0067,carbazole_C2_Br/CF3,carbazole,C2,phosphonic acid,Br/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0068,carbazole_C2_Br/Ph,carbazole,C2,phosphonic acid,Br/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0069,carbazole_C2_Br/Th,carbazole,C2,phosphonic acid,Br/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0070,carbazole_C2_Br/Anisyl,carbazole,C2,phosphonic acid,Br/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(Br)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0071,carbazole_C2_Br/F-Ph,carbazole,C2,phosphonic acid,Br/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0072,carbazole_C2_Br/Cl-Ph,carbazole,C2,phosphonic acid,Br/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0073,carbazole_C2_Br/Me-Ph,carbazole,C2,phosphonic acid,Br/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(Br)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0074,carbazole_C2_Me/OMe,carbazole,C2,phosphonic acid,Me/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(C)ccc1n2CCP(=O)(O)O
VSAM-L0075,carbazole_C2_Me/CN,carbazole,C2,phosphonic acid,Me/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(C#N)ccc21,Cc1ccc2c(c1)c1cc(C#N)ccc1n2CCP(=O)(O)O
VSAM-L0076,carbazole_C2_Me/CF3,carbazole,C2,phosphonic acid,Me/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(C(F)(F)F)ccc21,Cc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O
VSAM-L0077,carbazole_C2_Me/Ph,carbazole,C2,phosphonic acid,Me/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccccc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O
VSAM-L0078,carbazole_C2_Me/Th,carbazole,C2,phosphonic acid,Me/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccsc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccsc3)ccc1n2CCP(=O)(O)O
VSAM-L0079,carbazole_C2_Me/Anisyl,carbazole,C2,phosphonic acid,Me/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(C)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0080,carbazole_C2_Me/F-Ph,carbazole,C2,phosphonic acid,Me/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(F)cc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccc(F)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0081,carbazole_C2_Me/Cl-Ph,carbazole,C2,phosphonic acid,Me/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(Cl)cc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccc(Cl)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0082,carbazole_C2_Me/Me-Ph,carbazole,C2,phosphonic acid,Me/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(C)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0083,carbazole_C2_OMe/CN,carbazole,C2,phosphonic acid,OMe/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(C#N)ccc21,COc1ccc2c(c1)c1cc(C#N)ccc1n2CCP(=O)(O)O
VSAM-L0084,carbazole_C2_OMe/CF3,carbazole,C2,phosphonic acid,OMe/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(C(F)(F)F)ccc21,COc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O
VSAM-L0085,carbazole_C2_OMe/Ph,carbazole,C2,phosphonic acid,OMe/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccccc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O
VSAM-L0086,carbazole_C2_OMe/Th,carbazole,C2,phosphonic acid,OMe/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccsc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccsc3)ccc1n2CCP(=O)(O)O
VSAM-L0087,carbazole_C2_OMe/Anisyl,carbazole,C2,phosphonic acid,OMe/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(OC)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0088,carbazole_C2_OMe/F-Ph,carbazole,C2,phosphonic acid,OMe/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(F)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(F)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0089,carbazole_C2_OMe/Cl-Ph,carbazole,C2,phosphonic acid,OMe/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(Cl)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(Cl)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0090,carbazole_C2_OMe/Me-Ph,carbazole,C2,phosphonic acid,OMe/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(C)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(C)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0091,carbazole_C2_CN/CF3,carbazole,C2,phosphonic acid,CN/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(C(F)(F)F)ccc21,N#Cc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O
VSAM-L0092,carbazole_C2_CN/Ph,carbazole,C2,phosphonic acid,CN/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccccc3)ccc21,N#Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O
VSAM-L0093,carbazole_C2_CN/Th,carbazole,C2,phosphonic acid,CN/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccsc3)ccc21,N#Cc1ccc2c(c1)c1cc(-c3ccsc3)ccc1n2CCP(=O)(O)O
VSAM-L0094,carbazole_C2_CN/Anisyl,carbazole,C2,phosphonic acid,CN/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(C#N)ccc2n3CCP(=O)(O)O)cc1
